Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date   
S50Z18,SH-00933,S,5,1039.80,0,85.5,5.99,0,91.49
S50Z18,SH-00934,S,4,1039.80,0,68.4,4.79,0,73.19
S50Z18,SH-00935,S,5,1039.80,0,85.5,5.99,0,91.49
S50Z18,SH-00936,S,10,1039.80,0,171,11.97,0,182.97
S50Z18,SH-00937,S,1,1039.80,0,17.1,1.2,0,18.3
S50Z18,SH-00938,S,5,1039.80,0,85.5,5.99,0,91.49
S50Z18,BH-00939,B,1,1041.50,0,17.1,1.2,0,18.3
S50Z18,BH-00940,B,5,1041.50,0,85.5,5.99,0,91.49
S50Z18,BH-00941,B,5,1041.50,0,85.5,5.99,0,91.49
S50Z18,BH-00942,B,1,1041.50,0,17.1,1.2,0,18.3
S50Z18,BH-00943,B,10,1041.50,0,171,11.97,0,182.97
S50Z18,BH-00944,B,8,1041.50,0,136.8,9.58,0,146.38
S50Z18,SH-00945,S,20,1040.70,0,342,23.94,0,365.94
S50Z18,SH-00946,S,10,1040.70,0,171,11.91,0,182.91
S50Z18,BH-00891,B,1,1043.00,0,17.1,1.2,0,18.3
S50Z18,BH-00892,B,6,1043.00,0,102.6,7.18,0,109.78
S50Z18,BH-00893,B,10,1043.00,0,171,11.97,0,182.97
S50Z18,BH-00894,B,1,1043.00,0,17.1,1.2,0,18.3
S50Z18,BH-00895,B,5,1043.00,0,85.5,5.99,0,91.49
S50Z18,BH-00896,B,1,1043.00,0,17.1,1.2,0,18.3
S50Z18,BH-00897,B,1,1043.00,0,17.1,1.2,0,18.3
S50Z18,BH-00898,B,2,1043.00,0,34.2,2.39,0,36.59
S50Z18,BH-00899,B,1,1043.00,0,17.1,1.2,0,18.3
S50Z18,BH-00900,B,2,1043.00,0,34.2,2.38,0,36.58
S50Z18,BU-00533,B,5,1072.00,0,85.5,5.99,0,91.49
S50Z18,SE-00534,S,5,1066.70,0,85.5,5.97,0,91.47
S50Z18,SH-00596,S,4,1124.50,0,68.4,4.79,0,73.19
S50Z18,SH-00597,S,1,1124.50,0,17.1,1.18,0,18.28
S50Z18,SH-00437,S,1,1109.50,0,17.1,1.2,0,18.3
S50Z18,SH-00438,S,4,1109.50,0,68.4,4.79,0,73.19
S50Z18,SH-00439,S,5,1112.00,0,85.5,5.97,0,91.47
S50Z18,BH-00753,B,2,1109.50,0,34.2,2.39,0,36.59
S50Z18,BH-00754,B,1,1109.50,0,17.1,1.2,0,18.3
S50Z18,BH-00755,B,1,1109.50,0,17.1,1.2,0,18.3
S50Z18,BH-00756,B,1,1109.50,0,17.1,1.19,0,18.29
S50Z18,BH-00801,B,5,1120.50,0,85.5,5.99,0,91.49
S50Z18,SH-00802,S,5,1121.00,0,85.5,5.99,0,91.49
S50Z18,BH-00803,B,1,1135.50,0,17.1,1.2,0,18.3
S50Z18,BH-00804,B,9,1135.50,0,153.9,10.74,0,164.64
S50Z18,BU-00628,B,1,1135.90,0,17.1,1.2,0,18.3
S50Z18,BU-00629,B,4,1135.90,0,68.4,4.79,0,73.19
S50Z18,SE-00630,S,3,1138.00,0,51.3,3.59,0,54.89
S50Z18,SE-00631,S,1,1138.00,0,17.1,1.2,0,18.3
S50Z18,SE-00632,S,1,1138.00,0,17.1,1.16,0,18.26
S50Z18,SH-00868,S,8,1131.60,0,136.8,9.58,0,146.38
S50Z18,SH-00869,S,1,1131.60,0,17.1,1.2,0,18.3
S50Z18,SH-00870,S,1,1131.60,0,17.1,1.2,0,18.3
S50Z18,SH-00871,S,10,1131.60,0,171,11.97,0,182.97
S50Z18,BH-00872,B,20,1131.90,0,342,23.82,0,365.82  18092018
S50Z18C1125,BU-00598,B,5,36,-36000.00,175.5,12.29,0,187.79
S50Z18C1125,SH-00440,S,15,25.8,77400.00,526.5,36.86,0,563.36
S50Z18C1200,SH-00771,S,3,12,7200.00,105.3,7.37,0,112.67
S50Z18C1200,SH-00772,S,2,12,4800.00,70.2,4.9,0,75.1
S50Z18P1125,SH-00599,S,1,37.3,7460.00,35.1,2.46,0,37.56
S50Z18P1125,SH-00600,S,3,37.2,22320.00,105.3,7.37,0,112.67
S50Z18P1125,SH-00601,S,1,37.2,7440.00,35.1,2.45,0,37.55
S50Z18,BU-00626,B,10,1162.70,0.00,171.00,11.95,0.00,182.95  
S50Z18C1175,SH-00627,S,1,26.00,5200.00,35.10,2.45,0.00,37.5
S50Z18,BU-00506,B,5,1156.00,0.00,85.50,5.99,0.00,91.49
S50Z18P1150,SH-00507,S,5,30.00,30000.00,175.50,12.29,0.00,187.79
S50Z18,SH-00530,S,6,1161.00,0.00,102.60,7.18,0.00,109.78
S50Z18,SH-00531,S,5,1161.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00532,S,5,1161.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-00533,S,4,1161.00,0.00,68.40,4.78,0.00,73.18
S50Z18C1150,SH-00534,S,1,39.50,7900.00,35.10,2.46,0.00,37.56   25092018
S50Z18,BH-01066,B,5,1148.00,0.00,85.50,5.99,0.00,91.49
S50Z18,SH-01067,S,4,1155.50,0.00,68.40,4.79,0.00,73.19
S50Z18,SH-01068,S,1,1155.50,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-01069,S,5,1159.00,0.00,85.50,5.99,0.00,91.49
S50Z18P1075,SH-01070,S,3,8.00,4800.00,105.30,7.37,0.00,112.67
S50Z18P1150,SH-01071,S,1,32.50,6500.00,35.10,2.46,0.00,37.56
S50Z18,BH-00280,B,10,1164.00,0.00,171.00,11.97,0.00,182.97
S50Z18,BU-00281,B,10,1164.50,0.00,171.00,11.97,0.00,182.97
S50Z18,BU-00674,B,5,1157.00,0.00,85.50,5.99,0.00,91.49
S50Z18,BU-00675,B,2,1150.00,0.00,34.20,2.39,0.00,36.59
S50Z18,BU-00676,B,3,1150.00,0.00,51.30,3.59,0.00,54.89
S50Z18P1000,SH-00677,S,5,2.00,2000.00,175.50,12.29,0.00,187.79  02102018
S50Z18P1150,SH-00540,S,1,35.00,7000.00,35.10,2.46,0.00,37.56   04102018
S50Z18,BU-00847,B,3,1128.30,0.00,51.30,3.59,0.00,54.89
