Date	Confirm Time	Side	Stock	Unit	Price	Amount	Fee	VAT	Net Amount
07/08/2019	16:34:01	B	S50U19	10	1,094.50	10,945.00	200.00	14.00	214.00
07/08/2019	16:41:56	B	S50U19C1125	8	6.10	48.80	160.00	11.20	9,931.20
07/08/2019	16:50:37	B	S50U19C1125	12	6.10	73.20	240.00	16.80	14,896.80
07/08/2019	16:51:39	B	S50U19C1125	9	6.00	54.00	180.00	12.60	10,992.60
06/08/2019	15:48:28	B	S50U19P1100	10	18.00	180.00	200.00	14.00	36,214.00
06/08/2019	15:48:47	B	S50U19	10	1,097.00	10,970.00	200.00	14.00	214.00
05/08/2019	09:45:04	B	S50U19	5	1,098.50	5,492.50	100.00	7.00	107.00
05/08/2019	12:02:03	B	S50U19	5	1,100.00	5,500.00	100.00	7.00	107.00
05/08/2019	14:15:00	B	S50U19	5	1,101.00	5,505.00	100.00	7.00	107.00
05/08/2019	14:15:00	B	S50U19	5	1,101.00	5,505.00	100.00	7.00	107.00
05/08/2019	15:00:17	S	S50U19	15	1,099.00	16,485.00	300.00	21.00	321.00
05/08/2019	15:09:04	B	S50U19	1	1,097.50	1,097.50	20.00	1.40	21.40
05/08/2019	15:09:04	B	S50U19	2	1,097.50	2,195.00	40.00	2.80	42.80
05/08/2019	15:09:07	B	S50U19	2	1,097.50	2,195.00	40.00	2.80	42.80
01/08/2019	10:00:27	B	S50U19	10	1,121.50	11,215.00	200.00	14.00	214.00
01/08/2019	10:00:27	B	S50U19	10	1,121.50	11,215.00	200.00	14.00	214.00
01/08/2019	10:02:13	S	S50U19	1	1,121.10	1,121.10	20.00	1.40	21.40
01/08/2019	10:02:13	S	S50U19	1	1,121.10	1,121.10	20.00	1.40	21.40
01/08/2019	10:02:13	S	S50U19	18	1,121.10	20,179.80	360.00	25.20	385.20
01/08/2019	10:12:06	S	S50U19	6	1,121.80	6,730.80	120.00	8.40	128.40
01/08/2019	10:12:06	S	S50U19	1	1,121.80	1,121.80	20.00	1.40	21.40
01/08/2019	10:12:07	S	S50U19	8	1,121.80	8,974.40	160.00	11.20	171.20
01/08/2019	10:12:07	S	S50U19	3	1,121.80	3,365.40	60.00	4.20	64.20
01/08/2019	10:12:08	S	S50U19	2	1,121.80	2,243.60	40.00	2.80	42.80
01/08/2019	11:09:02	B	S50U19	20	1,120.80	22,416.00	400.00	28.00	428.00
01/08/2019	14:30:45	S	S50U19	1	1,121.10	1,121.10	20.00	1.40	21.40
01/08/2019	14:30:45	S	S50U19	1	1,121.10	1,121.10	20.00	1.40	21.40
01/08/2019	14:30:45	S	S50U19	2	1,121.10	2,242.20	40.00	2.80	42.80
01/08/2019	14:30:45	S	S50U19	1	1,121.10	1,121.10	20.00	1.40	21.40
01/08/2019	14:30:45	S	S50U19	1	1,121.10	1,121.10	20.00	1.40	21.40
01/08/2019	14:30:45	S	S50U19	4	1,121.10	4,484.40	80.00	5.60	85.60
01/08/2019	14:30:45	S	S50U19	5	1,121.10	5,605.50	100.00	7.00	107.00
01/08/2019	14:30:56	S	S50U19	5	1,121.10	5,605.50	100.00	7.00	107.00
01/08/2019	15:05:00	S	S50U19P1125	1	17.70	17.70	20.00	1.40	3,518.60
01/08/2019	15:05:04	S	S50U19P1125	1	17.70	17.70	20.00	1.40	3,518.60
01/08/2019	15:05:07	S	S50U19P1125	8	17.70	141.60	160.00	11.20	28,148.80
01/08/2019	15:14:13	B	S50U19	1	1,119.00	1,119.00	20.00	1.40	21.40
01/08/2019	15:14:14	B	S50U19	1	1,119.00	1,119.00	20.00	1.40	21.40
01/08/2019	15:14:14	B	S50U19	1	1,119.00	1,119.00	20.00	1.40	21.40
01/08/2019	15:14:17	B	S50U19	2	1,119.00	2,238.00	40.00	2.80	42.80
01/08/2019	15:19:02	B	S50U19	1	1,118.90	1,118.90	20.00	1.40	21.40
01/08/2019	15:19:23	B	S50U19	4	1,118.90	4,475.60	80.00	5.60	85.60
01/08/2019	15:38:39	B	S50U19	5	1,118.00	5,590.00	100.00	7.00	107.00
01/08/2019	15:44:41	B	S50U19	5	1,117.00	5,585.00	100.00	7.00	107.00
31/07/2019	10:12:09	B	S50U19	3	1,122.00	3,366.00	60.00	4.20	64.20
31/07/2019	10:12:13	B	S50U19	1	1,122.00	1,122.00	20.00	1.40	21.40
31/07/2019	10:12:13	B	S50U19	16	1,122.00	17,952.00	320.00	22.40	342.40
31/07/2019	16:54:32	S	S50U19	10	1,125.30	11,253.00	200.00	14.00	214.00
31/07/2019	16:54:55	S	S50U19	5	1,125.00	5,625.00	100.00	7.00	107.00
31/07/2019	16:54:55	S	S50U19	5	1,125.00	5,625.00	100.00	7.00	107.00
30/07/2019	10:25:57	B	S50U19	2	1,128.50	2,257.00	40.00	2.80	42.80
30/07/2019	10:25:57	B	S50U19	1	1,128.50	1,128.50	20.00	1.40	21.40
30/07/2019	10:25:57	B	S50U19	4	1,128.50	4,514.00	80.00	5.60	85.60
30/07/2019	10:25:57	B	S50U19	5	1,128.50	5,642.50	100.00	7.00	107.00
30/07/2019	10:25:57	B	S50U19	2	1,128.50	2,257.00	40.00	2.80	42.80
30/07/2019	10:25:57	B	S50U19	1	1,128.50	1,128.50	20.00	1.40	21.40
30/07/2019	10:25:57	B	S50U19	8	1,128.50	9,028.00	160.00	11.20	171.20
30/07/2019	10:25:57	B	S50U19	1	1,128.50	1,128.50	20.00	1.40	21.40
30/07/2019	10:25:57	B	S50U19	1	1,128.50	1,128.50	20.00	1.40	21.40
30/07/2019	10:25:57	B	S50U19	1	1,128.50	1,128.50	20.00	1.40	21.40
30/07/2019	10:25:57	B	S50U19	2	1,128.50	2,257.00	40.00	2.80	42.80
30/07/2019	10:25:57	B	S50U19	1	1,128.50	1,128.50	20.00	1.40	21.40
30/07/2019	10:25:58	B	S50U19	7	1,128.50	7,899.50	140.00	9.80	149.80
30/07/2019	10:25:58	B	S50U19	1	1,128.50	1,128.50	20.00	1.40	21.40
30/07/2019	10:26:19	B	S50U19	3	1,128.50	3,385.50	60.00	4.20	64.20
30/07/2019	11:12:18	S	S50U19	3	1,126.50	3,379.50	60.00	4.20	64.20
30/07/2019	11:12:18	S	S50U19	10	1,126.50	11,265.00	200.00	14.00	214.00
30/07/2019	11:12:18	S	S50U19	6	1,126.50	6,759.00	120.00	8.40	128.40
30/07/2019	11:12:18	S	S50U19	1	1,126.50	1,126.50	20.00	1.40	21.40
30/07/2019	11:12:18	S	S50U19	1	1,126.50	1,126.50	20.00	1.40	21.40
30/07/2019	11:12:18	S	S50U19	3	1,126.50	3,379.50	60.00	4.20	64.20
30/07/2019	11:12:18	S	S50U19	1	1,126.50	1,126.50	20.00	1.40	21.40
30/07/2019	11:13:55	S	S50U19	2	1,126.50	2,253.00	40.00	2.80	42.80
30/07/2019	11:13:56	S	S50U19	2	1,126.50	2,253.00	40.00	2.80	42.80
30/07/2019	11:13:57	S	S50U19	1	1,126.50	1,126.50	20.00	1.40	21.40
30/07/2019	11:14:04	S	S50U19	2	1,126.50	2,253.00	40.00	2.80	42.80
30/07/2019	11:14:04	S	S50U19	8	1,126.50	9,012.00	160.00	11.20	171.20
30/07/2019	11:26:21	S	S50U19	2	1,126.10	2,252.20	40.00	2.80	42.80
30/07/2019	11:26:21	S	S50U19	1	1,126.10	1,126.10	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	3	1,126.00	3,378.00	60.00	4.20	64.20
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	4	1,126.00	4,504.00	80.00	5.60	85.60
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	3	1,126.00	3,378.00	60.00	4.20	64.20
30/07/2019	11:26:21	S	S50U19	4	1,126.00	4,504.00	80.00	5.60	85.60
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	6	1,126.00	6,756.00	120.00	8.40	128.40
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	5	1,126.00	5,630.00	100.00	7.00	107.00
30/07/2019	11:26:21	S	S50U19	1	1,126.00	1,126.00	20.00	1.40	21.40
30/07/2019	11:26:21	S	S50U19	4	1,126.00	4,504.00	80.00	5.60	85.60
30/07/2019	11:30:59	B	S50U19	2	1,125.60	2,251.20	40.00	2.80	42.80
30/07/2019	11:30:59	B	S50U19	14	1,125.60	15,758.40	280.00	19.60	299.60
30/07/2019	11:30:59	B	S50U19	5	1,125.60	5,628.00	100.00	7.00	107.00
30/07/2019	11:30:59	B	S50U19	3	1,125.60	3,376.80	60.00	4.20	64.20
30/07/2019	11:30:59	B	S50U19	9	1,125.60	10,130.40	180.00	12.60	192.60
30/07/2019	11:30:59	B	S50U19	7	1,125.60	7,879.20	140.00	9.80	149.80
30/07/2019	11:44:00	B	S50U19	3	1,126.00	3,378.00	60.00	4.20	64.20
