Series	Contract No.	BuySell	Contract	Price	Premium Amount	Brokerage Fee	VAT	WH	Charge Amount   Date
S50U18	SE-00906	S	1	1,038.00	0.00	17.10	1.20	0.00	18.30
S50U18	SE-00907	S	10	1,038.00	0.00	171.00	11.97	0.00	182.97
S50U18	SE-00908	S	1	1,038.00	0.00	17.10	1.20	0.00	18.30
S50U18	SE-00909	S	2	1,038.00	0.00	34.20	2.39	0.00	36.59
S50U18	SE-00910	S	7	1,038.00	0.00	119.70	8.38	0.00	128.08
S50U18	SE-00911	S	29	1,038.00	0.00	495.90	34.71	0.00	530.61
S50U18	BU-00912	B	5	1,039.00	0.00	85.50	5.99	0.00	91.49
S50U18	BU-00913	B	1	1,039.00	0.00	17.10	1.20	0.00	18.30
S50U18	BU-00914	B	1	1,039.00	0.00	17.10	1.20	0.00	18.30
S50U18	BU-00915	B	1	1,039.00	0.00	17.10	1.20	0.00	18.30
S50U18	BU-00916	B	2	1,039.00	0.00	34.20	2.39	0.00	36.59
S50U18	BU-00917	B	1	1,039.00	0.00	17.10	1.20	0.00	18.30
S50U18	BU-00918	B	1	1,039.00	0.00	17.10	1.20	0.00	18.30
S50U18	BU-00919	B	10	1,039.00	0.00	171.00	11.97	0.00	182.97
S50U18	BU-00920	B	1	1,039.00	0.00	17.10	1.20	0.00	18.30
S50U18	BU-00921	B	5	1,039.00	0.00	85.50	5.99	0.00	91.49
S50U18	BU-00922	B	22	1,039.00	0.00	376.20	26.33	0.00	402.53
S50Z18	SH-00933	S	5	1,039.80	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00934	S	4	1,039.80	0.00	68.40	4.79	0.00	73.19
S50Z18	SH-00935	S	5	1,039.80	0.00	85.50	5.99	0.00	91.49
S50Z18	SH-00936	S	10	1,039.80	0.00	171.00	11.97	0.00	182.97
S50Z18	SH-00937	S	1	1,039.80	0.00	17.10	1.20	0.00	18.30
S50Z18	SH-00938	S	5	1,039.80	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00939	B	1	1,041.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00940	B	5	1,041.50	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00941	B	5	1,041.50	0.00	85.50	5.99	0.00	91.49
S50Z18	BH-00942	B	1	1,041.50	0.00	17.10	1.20	0.00	18.30
S50Z18	BH-00943	B	10	1,041.50	0.00	171.00	11.97	0.00	182.97
S50Z18	BH-00944	B	8	1,041.50	0.00	136.80	9.58	0.00	146.38
S50Z18	SH-00945	S	20	1,040.70	0.00	342.00	23.94	0.00	365.94
S50Z18	SH-00946	S	10	1,040.70	0.00	171.00	11.91	0.00	182.91
S50U18P1000	BH-00923	B	1	17.10	-3,420.00	35.10	2.46	0.00	37.56
S50U18P1000	BH-00924	B	5	17.10	-17,100.00	175.50	12.29	0.00	187.79
S50U18P1000	BH-00925	B	20	17.20	-68,800.00	702.00	49.14	0.00	751.14
S50U18P1000	BH-00926	B	4	17.20	-13,760.00	140.40	9.83	0.00	150.23
